Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
An Introduction to A Smart Durian Musang King and Durian Kampung Classification,N. M. Zarifie Hashim; M. H. Azfar Khairil Bahri; S. M. Abd Ghani; M. D. Sulistiyo; K. A. Mohd Kassim; N. A. Hanin Zahri,"Fakulti Kejuruteraan Elektronik dan Kejuruteraan Komputer, Universiti Teknikal Malaysia Melaka, Durian Tunggal, Melaka, Malaysia; Fakulti Kejuruteraan Elektronik dan Kejuruteraan Komputer, Universiti Teknikal Malaysia Melaka, Durian Tunggal, Melaka, Malaysia; Bahagian Regulatori, Lembaga Pemasaran Pertanian Persekutuan (FAMA), Batu Caves, Selangor, Malaysia; School of Computing, Telkom University, Bandung, West Java, Indonesia; Department of Mechanical Science and Engineering, Nagoya University, Chikusa-ku, Nagoya, Japan; Faculty of Electronic Engineering Technology, Universiti Malaysia Perlis, Pauh Putra, Perlis, Malaysia",2022 2nd International Conference on Intelligent Technologies (CONIT),18-Aug-22,2022,,,1,6,"Fruit classification is a crucial implementation process for identifying the types of fruit in the agricultural field. Traditionally the identifying of the fruit was conducted manually using human power. Classification with the manual method requires a systematic, continuous, and even human eye recognition technology to maintain quality consistency. However, this process and step are considered repetitious and uninteresting for the worker, which infringes a prone to human mistakes. In Malaysia's local exercises, The Malaysian Federal Agricultural Marketing Authority (FAMA) controls a set of six indexes for categorizing various types and categories of tropical fruit available locally. Although a reference for classifying the tropical fruit is available here, a method and reliable classifier that could be implemented universally are still desired for the agricultural player. This paper introduces a simple idea employing CNN to classify the local Durian in Malaysia, Durian Kampung, and the well-known durian, Musang King. Although the work is still in progress, we produced a comparable and reliable result with 80% classification accuracy utilizing the Deep Learning approach.",,978-1-6654-8407-7,10.1109/CONIT55038.2022.9847909,Nagoya University; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9847909,classification;convolution neural network;durian kampung;durian musang king;VGG16,Deep learning;Systematics;Manuals;Search engines;Reliability;Convolutional neural networks;Indexes,agricultural products;agriculture;automatic optical inspection;computer vision;feature extraction;food products;image classification;image colour analysis;learning (artificial intelligence);standards,"Malaysia's local exercises;Malaysian Federal Agricultural Marketing Authority;tropical fruit available;reliable classifier;agricultural player;local Durian;Musang King;80% classification accuracy;Durian Kampung classification;fruit classification;crucial implementation process;agricultural field;human power;manual method;systematic eye recognition technology;continuous, eye recognition technology;even human eye recognition technology;quality consistency;human mistakes",,,,27,IEEE,18-Aug-22,,,IEEE,IEEE Conferences
"An optimal scheme for differentiating a variety of fruits for real-time prediction using Convolutional Neural Network by comparing with Decision Tree to increase the Accuracy, Precision and Sensitivity",K. S. Prasad; P. S. Bharathi,"Dept. of Electronics and Communication Engineering, Saveetha University, Chennai, India; Dept. of Electronics and Communication Engineering, Saveetha University, Chennai, India",2022 International Conference on Business Analytics for Technology and Security (ICBATS),27-Apr-22,2022,,,1,6,"Aim: The objective of this study is to implement deep learning technique based on innovative classification using convolutional neural networks algorithm to improve the detection of disease in fresh fruit compared with the Decision Tree algorithm to increase accuracy, precision, and sensitivity. Materials and Methods: A total of 2500 samples were collected from kaggle’s various fruit images. A training dataset of 1750 (70%) and a test dataset of 750 (30%) were generated from these samples. To measure the efficiency of the Convolutional neural network algorithm, accuracy, precision, and sensitivity values were measured. For each sample, 10 samples were collected for analysis. The significance p<0.005 mean accuracy, precision, and sensitivity shows the performance of fruit quality detection. The study parameters are found as alpha = 0.02 and G power = 0.8. Results: On the two classes under consideration, an independent samples T-test was performed. CNN has achieved accuracy, precision, and sensitivity of 97.5%, 95.1% and 99.4% respectively compared to 87.7%, 90.8%, and 91.2% by the Decision Tree algorithm. Conclusion: In this study it was found that the CNN algorithm appears to be significantly better than the Decision Tree algorithm in fruit quality detection whether it was healthy or diseased of the datasets considered.",,978-1-6654-0920-9,10.1109/ICBATS54253.2022.9759093,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9759093,Innovative CNN algorithm;Deep Learning;Machine Learning;Decision Tree algorithm;ReLU layer;Soft Max;Max Pooling;Kernel Layer;Featured map,Training;Deep learning;Sensitivity;Prediction algorithms;Real-time systems;Classification algorithms;Convolutional neural networks,agricultural products;decision trees;diseases;food products;image classification;learning (artificial intelligence);neural nets,real-time prediction;deep learning technique;convolutional neural networks algorithm;fresh fruit;Decision Tree algorithm;kaggle;training dataset;test dataset;Convolutional neural network algorithm;sensitivity values;fruit quality detection;independent samples;CNN algorithm,,,,23,IEEE,27-Apr-22,,,IEEE,IEEE Conferences
Analytical Study on IoT and Machine Learning based Grading and Sorting System for Fruits,P. Nirale; M. Madankar,"Department of Computer Science and Engineering, G H Raisoni College of Engineering, Nagpur, India; Department of Computer Science and Engineering, G H Raisoni College of Engineering, Nagpur, India",2021 International Conference on Computational Intelligence and Computing Applications (ICCICA),7-Feb-22,2021,,,1,6,"In this age of modern farming, it is very important to grow in terms of quality practice and the number of products offered. As in India, many people depend on growing crops and fruits. When it comes to counting and sorting fruits and vegetables by hand it takes a much higher amount of remuneration to pay the workers and they will not be able to get a good result. So, to overcome this problem of farmers and strengthen them with a low-cost savings plan this is the IoT and Machine Learning priority and fruit planning. In this research machine learning is used to detect the fruit phase and the recording process, the IoT camera is used with the microcontroller module which will be available to connect to coding and show computer usage.",,978-1-6654-2040-2,10.1109/ICCICA52458.2021.9697161,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9697161,Machine Learning;Internet of things (IOT);image processing;grading;sorting,Support vector machines;Machine learning algorithms;Machine learning;Real-time systems;Classification algorithms;Planning;Convolutional neural networks,cameras;crops;farming;Internet of Things;learning (artificial intelligence);microcontrollers;product quality;production engineering computing;remuneration,machine learning;fruit phase;IoT camera;sorting system;modern farming;quality practice;low-cost savings plan;fruit planning;India;recording process;microcontroller module;computer usage,,,,19,IEEE,7-Feb-22,,,IEEE,IEEE Conferences
Apple External Quality Analysis Based on BP Neural Network,M. Nie; Q. Zhao; S. Bi; Y. Xu; T. Shen,"School of Electrical Engineering, University of Jinan, Jinan, China; School of Electrical Engineering, University of Jinan, Jinan, China; School of Electrical Engineering, University of Jinan, Jinan, China; School of Electrical Engineering, University of Jinan, Jinan, China; School of Electrical Engineering, University of Jinan, Jinan, China",2019 1st International Conference on Industrial Artificial Intelligence (IAI),30-Sep-19,2019,,,1,5,"Apple classification technology is a key factor restricting apple's export. Aiming at the inefficiency and low precision of traditional classification technology, an apple classification method based on BP neural network is proposed in this paper. The image of the Red Fuji apple is detected during the transmission process, and machine vision technology is used for classification research. Firstly, through morphological operations and hole filling, and median filtering to remove noise, the target area of the fruit is extracted. Then, the binary image is obtained by Canny algorithm. The apple fruit shape, fruit diameter, color and defect characteristics are respectively extracted. Finally, the genetic algorithm is used to optimize the BP neural network, establish and train the network structure to determine the type of test sample. The experimental results show that the BP neural network optimized by genetic algorithm is used in the classification of Red Fuji apple, and the accuracy rate is 91.67%. The research results provide reference for apple classification research.",,978-1-7281-3593-9,10.1109/ICIAI.2019.8850821,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8850821,Image Processing;Genetic Algorithms;BP Neural Network,Feature extraction;Shape;Image color analysis;Image edge detection;Filtering;Neural networks;Genetic algorithms,agricultural products;backpropagation;feature extraction;genetic algorithms;image classification;image colour analysis;median filters;neural nets,machine vision technology;apple fruit shape;genetic algorithm;BP neural network;apple external quality analysis;apple classification technology;fruit extraction;Red Fuji apple image;binary image;Canny algorithm;color characteristics;defect characteristics,,1,,8,IEEE,30-Sep-19,,,IEEE,IEEE Conferences
Apple Fruit Disease Detection for Hydroponic plants using Leading edge Technology Machine Learning and Image Processing,K. Lisha Kamala; S. Anna Alex,"Department of Computer Science and Engineering, M S Ramaiah Institute of Technology, Bangalore, India; Department of Computer Science and Engineering, M S Ramaiah Institute of Technology, Bangalore, India",2021 2nd International Conference on Smart Electronics and Communication (ICOSEC),12-Nov-21,2021,,,820,825,"An Apple is also kind of fruit that can be cultivated through Hydroponic farming. The apple fruit that are been cultivated through soil has a less sweet taste when compared to hydroponic farming. The production of apples in hydroponic farming is high when compared through soil. In hydroponic farming detection of disease in apple fruit is very important at early phase else leads to a great loss in terms of productivity, quality and quantity. Detection of disease in fruits can be achieved through Image processing and Machine learning techniques.",,978-1-6654-3368-6,10.1109/ICOSEC51865.2021.9591903,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591903,Hydroponic farming;productivity;quality;quantity;Image processing;Machine Learning,Support vector machines;Productivity;Image segmentation;Machine learning algorithms;Shape;Plants (biology);Soil,agricultural engineering;agricultural products;learning (artificial intelligence);object detection;plant diseases;soil,apple fruit disease detection;hydroponic plants;image processing;machine learning techniques;hydroponic farming;soil,,,,10,IEEE,12-Nov-21,,,IEEE,IEEE Conferences
Apple orchard flower clusters density mapping by unmanned aerial vehicle RGB acquisitions,M. Piani; G. Bortolotti; L. Manfrini,"Department of Agricultural and Food Sciences, University of Bologna, Bologna, Italy; Department of Agricultural and Food Sciences, University of Bologna, Bologna, Italy; Department of Agricultural and Food Sciences, University of Bologna, Bologna, Italy",2021 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),3-Dec-21,2021,,,92,96,"Flower load is one of the earlier indicators of potential yield in fruit orchards. Usually, a higher flower clusters number are present on a tree than needed for an optimal production. The most used techniques to manage the flower load are manual, mechanical, and chemical thinning. The main issue is to calibrate these techniques on the base of the desired yield. Drone imagery, being able to collect highly detailed information, could offer a solution to automate flower counting since manual flower counting would be too laborious. The main goals of this study were to test an easy to use and quick be analyzed data acquisition for sudden field interventions, short computing time and reliability. This was achieved by applying and comparing two methodologies that allow to map apple’s flower clusters density at full bloom stage by processing Unmanned aerial Vehicle’s (UAV) imagery with binary classification and K-Nearest Neighbor algorithm, respectively. A comparison between the flower cluster estimation and the actual cluster load analysis highlighted that mapping flower clusters by binary classification is more suitable than machine learning in terms of image processing because it allowed to have a quicker (8 minutes) , easier and less noise - affected image analysis with R2 values ranging from 0,60 to 0,71. Furthermore, the proposed methodology seemed to be able to manage with a high spatial variability since it produced a map that clearly corresponded with zonal field conditions.",,978-1-6654-0533-1,10.1109/MetroAgriFor52389.2021.9628565,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9628565,Precise management;thinning;fruit quality;yield;remote sensing;K-nearest neighbor,Filtering;Manuals;Production;Soil;Autonomous aerial vehicles;Software;Sensors,agricultural products;agriculture;autonomous aerial vehicles;crops;data acquisition;feature extraction;image classification;image colour analysis;learning (artificial intelligence);nearest neighbour methods;pattern clustering;robot vision;statistical analysis,binary classification;flower cluster estimation;actual cluster load analysis;apple orchard flower clusters density mapping;unmanned aerial vehicle RGB acquisitions;flower load;fruit orchards;flower clusters number;drone imagery;manual flower counting;data acquisition;unmanned aerial vehicle;UAV imagery;spatial variability;zonal field conditions;k-nearest neighbor algorithm;time 8.0 min,,,,13,IEEE,3-Dec-21,,,IEEE,IEEE Conferences
Apple Ripeness Estimation Using Artificial Neural Network,R. Hamza; M. Chtourou,"Control and Energy management Laboratory, University of Sfax, Tunisia; Universite de Sfax, Sfax, TN",2018 International Conference on High Performance Computing & Simulation (HPCS),1-Nov-18,2018,,,229,234,"Fruit ripeness estimation is an important process that affects its quality and subsequently its marketing. Automatic ripeness evaluation through computer vision system has been an innovative topic interesting many researchers as it provides efficient solution to the slow speed, time consumption and high cost associated with the manual assessment. In this paper, Artificial Neural Network (ANN) classification approach has been investigated to estimate the ripeness of apple fruits based on color. Several points have been dealt with in this study, namely the color features vectors, the learning pedagogy and the structure of the ANN classifier in order to obtain the best performance. Dataset used for simulation has been collected and exploited for the training and testing phases: 80 % of the total images were used for training and 20% of the total images were used for testing the classifier. Training dataset is composed by three classes representing the three different stages of apple ripeness. Simulation results showed the performance achieved by the ripeness classification system.",,978-1-5386-7879-4,10.1109/HPCS.2018.00049,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8514354,,Image color analysis;Training;Feature extraction;Neurons;Testing;Image segmentation;Fuzzy logic,agricultural products;computer vision;feature extraction;food products;image classification;image colour analysis;learning (artificial intelligence);neural nets;product quality;support vector machines,ripeness classification system;apple ripeness estimation;fruit ripeness estimation;computer vision system;apple fruits;color features vectors;learning pedagogy;ANN classifier;artificial neural network classification approach;ripeness evaluation,,9,,25,IEEE,1-Nov-18,,,IEEE,IEEE Conferences
Application of Computer Vision Technology in Post-Harvest Processing of Fruits and Vegetables: Starting from Shape Recognition Algorithm,X. Chang,"Bayin Guoleng Vocational and Technology College, Korla. Xinjiang, China",2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),16-Jun-22,2022,,,934,937,"The basic principles of computer vision and the basic components of computer vision systems are briefly explained; representative examples are selected, and the domestic and foreign applications in fruit and vegetable harvesting, fruit color detection, shape and size detection, damage detection and surface defect detection, are respectively introduced, and then the use of Gabor A method for filtering and extracting Gabor features of fruits and vegetables. The two-dimensional Gabor kernel function can more accurately describe the receptive field of simple cortical cells in the human visual system. Using Gabor filtering to extract fruit and vegetable image features can better represent the basic information of fruit and vegetable images and improve the recognition rate of fruit and vegetable images.",,978-1-6654-9710-7,10.1109/ICAAIC53929.2022.9793255,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793255,Computer Vision Technology;Post-Harvest Processing;Fruits and Vegetable;Shape Recognition,Computer vision;Image recognition;Shape;Filtering;Matching pursuit algorithms;Visual systems;Feature extraction,agricultural products;computer vision;face recognition;feature extraction;Gabor filters;image colour analysis;image recognition;neurophysiology;shape recognition,computer vision technology;post-harvest processing;shape recognition algorithm;computer vision systems;representative examples;domestic applications;foreign applications;vegetable harvesting;fruit color detection;size detection;damage detection;surface defect detection;filtering extracting Gabor features;fruits;vegetables;two-dimensional Gabor kernel function;human visual system;vegetable image features;vegetable images,,,,24,IEEE,16-Jun-22,,,IEEE,IEEE Conferences
Applications of Computer Vision and Machine Learning in Agriculture: A State-of-the-Art Glimpse,M. T. Habib; D. M. Raza; M. M. Islam; D. B. Victor; M. A. I. Arif,"Department of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh; Department of Computer Science and Engineering, Daffodil International University, Dhaka, Bangladesh",2022 International Conference on Innovative Trends in Information Technology (ICITIIT),1-Apr-22,2022,,,1,5,"AI branches many areas including computer vision and machine learning which are growing in a variety of application sectors. In this perspective, the agriculture sector is a promising application space for these two areas. Many efforts have been undertaken to address various agricultural challenges using computer vision and machine learning. Some prominent problem domains are fruit, vegetable, and crop disease diagnosis, recognition of distinct fruits, vegetables, and crops, and quality grading of fruits, vegetables, and crops which we attempt to delineate from state of-the-art perspective.",,978-1-6654-0670-3,10.1109/ICITIIT54346.2022.9744150,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9744150,Computer Vision;Feature Extraction;Machine Learning;Classification;Accuracy,Support vector machines;Knowledge engineering;Computer vision;Neural networks;Crops;Machine learning;Market research,agricultural engineering;agriculture;computer vision;crops;diseases;learning (artificial intelligence);plant diseases,computer vision;machine learning;state-of-the-art glimpse;AI branches;application sectors;agriculture sector;promising application space;agricultural challenges;prominent problem domains;vegetable;crop disease diagnosis;distinct fruits;vegetables;crops;state of-the-art perspective,,,,14,IEEE,1-Apr-22,,,IEEE,IEEE Conferences
Automated Sorter and Grading of Tomatoes using Image Analysis and Deep Learning Techniques,J. F. Bautista; C. D. Oceña; M. J. Cabreros; S. P. L. Alagao,"Computer Engineering Dept., University of Mindanao, Davao City, Philippines; Computer Engineering Dept., University of Mindanao, Davao City, Philippines; Computer Engineering Dept., University of Mindanao, Davao City, Philippines; Computer Engineering Dept., University of Mindanao, Davao City, Philippines","2020 IEEE 12th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)",16-Apr-21,2020,,,1,6,"Many sorting machines were made in the past that classifies the ripeness of tomatoes. These machines do not classify the size and quality of tomatoes like physical damage, defects, and bruises of plants, resulting in the traditional checking of the quality and size estimation. Based on the Philippines Statistics Office, the Philippines produces many tomatoes that become the driving force to push through this study. This study aims to innovate the existing method of sorting and grading tomatoes depending on the size and quality, including the color, defects, physical damage, and bruises. Specifically, this study aims to create software and hardware that can analyze tomatoes' grades based on color and classify the fruit according to size. Also, to conduct a statistical analysis of the efficiency of the system. The process starts from capturing an image of a tomato, which will be analyzed by applying the image processing techniques such as deep learning algorithms to determine the quality and the Canny-Edge Detection to categorize the size in small, medium, large, and jumbo. The Conveyor is controlled by an Arduino microcontroller transporting the tomatoes into the spot where the tomatoes' image is captured. This study results in an overall efficiency of 88% after testing multiple batches of tomatoes of different sizes and quality.",,978-1-6654-1971-0,10.1109/HNICEM51456.2020.9400055,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9400055,image processing;deep learning;canny-edge detection;Arduino,Deep learning;Image color analysis;Statistical analysis;Process control;Software;Sorting;Testing,agricultural products;computer vision;conveyors;deep learning (artificial intelligence);edge detection;food processing industry;food products;image capture;image classification;image colour analysis;image segmentation;materials handling;microcontrollers;product quality;production engineering computing;statistical analysis,physical damage;image processing techniques;deep learning techniques;size estimation;tomatoes automated sorter;tomatoes grading;image analysis;tomato quality;Philippines statistics office;image color;software;hardware;image classification;image capture;canny-edge detection model;conveyor;Arduino microcontroller;tomatoes ripeness;tomato sorting machines,,1,,15,IEEE,16-Apr-21,,,IEEE,IEEE Conferences
Automated Sorting and Grading of Agricultural Products based on Image Processing,H. M. T. Abbas; U. Shakoor; M. J. Khan; M. Ahmed; K. Khurshid,"Department of Electrical Engineering, Artificial Intelligence and Computer Vision (iVision) Lab, Institute of Space Technology, Islamabad, Pakistan; Department of Electrical Engineering, Artificial Intelligence and Computer Vision (iVision) Lab, Institute of Space Technology, Islamabad, Pakistan; Department of Electrical Engineering, Artificial Intelligence and Computer Vision (iVision) Lab, Institute of Space Technology, Islamabad, Pakistan; Department of Electrical Engineering, Artificial Intelligence and Computer Vision (iVision) Lab, Institute of Space Technology, Islamabad, Pakistan; Department of Electrical Engineering, Artificial Intelligence and Computer Vision (iVision) Lab, Institute of Space Technology, Islamabad, Pakistan",2019 8th International Conference on Information and Communication Technologies (ICICT),20-Feb-20,2019,,,78,81,"Demand of good quality fruits is increasing with the rise in population. GDP of the many countries rely upon its export. Major part of GDP of Pakistan depends on its fruit export business. The present quality detection, sortation & dispensing systems have the downside of low yield, time consumption, high cost and complication. The study purpose of machine-controlled fruit sorting using image processing is to create higher quality fruit sorting, quality maintenance, production and to cut back labor concentration. It is a necessity for machine-controlled system that quick and quality feature detection as well as quick dispensing of fruits is carried out. A comprehensive review of current work related to automated sorting and grading of agricultural products is presented in this paper. We also propose a complete end to end system of automated and efficient fruit sorting and grading based on image processing. Effectiveness of the proposed structure is demonstrated by the initial experimental results.",,978-1-7281-2334-9,10.1109/ICICT47744.2019.9001971,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9001971,image processing;fruit sorting;fruit grading;machine vision,,agricultural products;agriculture;economic indicators;feature extraction;food products;image processing;industrial economics;international trade;maintenance engineering;materials handling;quality control,agricultural products;image processing;good quality fruits;GDP;fruit export business;sortation & dispensing systems;machine-controlled fruit sorting;quality maintenance;quality feature detection;Pakistan,,5,,13,,20-Feb-20,,,IEEE,IEEE Conferences
Automatic Classification of Mangosteen Ripening Stages using Deep Learning,I. A. Mohtar; N. S. S. Ramli; Z. Ahmad,"Faculty of Computer and Mathematical Sciences, Universiti Teknologi Mara Perak Branch, Perak, Malaysia; Faculty of Computer and Mathematical Sciences, Universiti Teknologi Mara Perak Branch, Perak, Malaysia; Faculty of Computer and Mathematical Sciences, Universiti Teknologi Mara Perak Branch, Perak, Malaysia",2019 1st International Conference on Artificial Intelligence and Data Sciences (AiDAS),30-Jan-20,2019,,,44,47,"The retail quality of mangosteen depends on the harvesting of the fruit at the right ripening stage. Mangosteen harvested too early or too late will compromise the quality and consequently affect the yield for the season. The ability to automate the classification of the ripening stage of mangosteen will help the farmers during the harvesting phase to determine under-matured, matured and over-matured mangosteen. This study proposes a Convolutional Neural Network architecture utilizing the V3 Inception model, to classify the ripening stages of mangosteen. A total of 800 images were used to train the model. The model was able to achieve training accuracy of 99%, validation accuracy of 97% and testing accuracy of 91.9% after 500 epochs. The precision, recall and F1 score achieved were 0.88, 0.96, and 0.92 respectively. As a conclusion, the V3 Inception model is able to classify the ripening stages of mangosteen. It is hoped that this study will initiate the commercialization of this effort to assist the mangosteen industry.",,978-1-7281-3041-5,10.1109/AiDAS47888.2019.8970933,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8970933,mangosteen ripening stages;deep learning;convulational neural network,,agricultural products;convolutional neural nets;image classification;learning (artificial intelligence),automatic classification;mangosteen industry;V3 Inception model;over-matured mangosteen;harvesting phase;ripening stage;retail quality;mangosteen ripening stages,,2,,14,IEEE,30-Jan-20,,,IEEE,IEEE Conferences
Automatic Counting and Individual Size and Mass Estimation of Olive-Fruits Through Computer Vision Techniques,J. M. Ponce; A. Aquino; B. Millan; J. M. Andújar,"Department of Electronic Engineering, University of Huelva, Huelva, Spain; Department of Electronic Engineering, University of Huelva, Huelva, Spain; Department of Electronic Engineering, University of Huelva, Huelva, Spain; Department of Electronic Engineering, University of Huelva, Huelva, Spain",IEEE Access,17-May-19,2019,7,,59451,59465,"Fruit grading is an essential post-harvest task in the olive industry, where size-and-mass based fruit classification is especially important when processing high-quality table olives. Within this context, this research presents a new methodology aimed at supporting accurate automatic olive-fruit grading by using computer vision techniques and feature modeling. For its development, a total of 3600 olive-fruits from nine varieties were photographed, stochastically distributing the individuals on the scene, using an ad-hoc designed an imaging chamber. Then, an image analysis algorithm, based on mathematical morphology, was designed to individually segment olives and extract descriptive features to estimate their major and minor axes and their mass. Regarding its accuracy for the individual segmentation of olive-fruits, the algorithm was proven through 117 captures containing 11 606 fruits, producing only six fruit-segmentation mistakes. Furthermore, by linearly correlating the data obtained by image analysis and the corresponding reference measurements, models for estimating the three features were computed. Then, the models were tested on 2700 external validation samples, giving relative errors below 0.80% and 1.05% for the estimation of the major and minor axis length for all varieties, respectively. In the case of estimating olive-fruit mass, the models provided relative errors never exceeding 1.16%. The ability of the developed algorithm to individually segment olives stochastically positioned, along with the low error rates of around 1% reported by the estimation models for the three features, makes the methodology a promising alternative to be integrated into a new generation of improved and non-invasive olive classification machines. The new developed system has been registered in the Spanish Patent and Trademark Office with the number P201930297.",2169-3536,,10.1109/ACCESS.2019.2915169,Interreg; European Regional Development Fund(grant numbers:0155_TECNOLIVO_6_E); scope of the TecnOlivo Project; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8707957,Computer vision;feature modeling;food industry;fruit grading;image analysis;olive,Image analysis;Computational modeling;Feature extraction;Estimation;Computer vision;Industries;Image segmentation,agricultural products;computer vision;feature extraction;food processing industry;food products;image classification;image colour analysis;image segmentation;mathematical morphology;patents;product quality,computer vision techniques;olive industry;high-quality table olives;olive-fruit grading;image analysis algorithm;noninvasive olive classification machines;post-harvest task;automatic counting technique;mathematical morphology;feature extraction;Spanish Patent,,17,,33,OAPA,7-May-19,,,IEEE,IEEE Journals
Automatic Fruit Classification Using Deep Learning for Industrial Applications,M. S. Hossain; M. Al-Hammadi; G. Muhammad,"Department of Software Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Computer Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Computer Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia",IEEE Transactions on Industrial Informatics,4-Feb-19,2019,15,2,1027,1034,"Fruit classification is an important task in many industrial applications. A fruit classification system may be used to help a supermarket cashier identify the fruit species and prices. It may also be used to help people decide whether specific fruit species meet their dietary requirements. In this paper, we propose an efficient framework for fruit classification using deep learning. More specifically, the framework is based on two different deep learning architectures. The first is a proposed light model of six convolutional neural network layers, whereas the second is a fine-tuned visual geometry group-16 pretrained deep learning model. Two color image datasets, one of which is publicly available, are used to evaluate the proposed framework. The first dataset (dataset 1) consists of clear fruit images, whereas the second dataset (dataset 2) contains fruit images that are challenging to classify. Classification accuracies of 99.49% and 99.75% were achieved on dataset 1 for the first and second models, respectively. On dataset 2, the first and second models obtained accuracies of 85.43% and 96.75%, respectively.",1941-0050,,10.1109/TII.2018.2875149,"Deanship of Scientific Research, King Saud University; King Saud University, Riyadh, Saudi Arabia(grant numbers:RGP-228); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8488544,Computer vision;convolutional neural networks (CNNs);deep learning;fruit classification;VGG-16,Machine learning;Shape;Image color analysis;Support vector machines;Informatics;Feature extraction;Neural networks,food products;food safety;geometry;image classification;image colour analysis;learning (artificial intelligence);neural nets;product quality,deep learning model;color image datasets;automatic fruit classification;industrial applications;convolutional neural network layers;supermarket cashier identify;fruit price;dietary requirements;fine-tuned visual geometry,,99,,29,IEEE,10-Oct-18,,,IEEE,IEEE Journals
Automatic Monitoring of Fruit Ripening Rooms by UHF RFID Sensor Network and Machine Learning,C. Occhiuzzi; F. Camera; M. D’Orazio; N. D’Uva; S. Amendola; G. M. Bianco; C. Miozzi; L. Garavaglia; E. Martinelli; G. Marrocco,"RADIO6ENSE srl, Rome, Italy; RADIO6ENSE srl, Rome, Italy; DIE, University of Rome “Tor Vergata,”, Rome, Italy; DICII, University of Rome “Tor Vergata,”, Rome, Italy; DICII, University of Rome “Tor Vergata,”, Rome, Italy; RADIO6ENSE srl, Rome, Italy; DICII, University of Rome “Tor Vergata,”, Rome, Italy; ILPA Group S.p.A., Valsamoggia, Italy; DICII, University of Rome “Tor Vergata,”, Rome, Italy; RADIO6ENSE srl, Rome, Italy",IEEE Journal of Radio Frequency Identification,23-Sep-22,2022,6,,649,659,"Accelerated ripening through the exposure of fruits to controlled environmental conditions and gases is nowadays one of the most assessed food technologies, especially for climacteric and exotic products. However, a fine granularity control of the process and consequently of the quality of the goods is still missing, so the management of the ripening rooms is mainly based on qualitative estimations only. Following the modern paradigms of Industry 4.0, this contribution proposes a non-destructive RFID-based system for the automatic evaluation of the live ripening of avocados. The system, coupled with a properly trained automatic classification algorithm based on Support Vector Machines (SVMs), can discriminate the stage of ripening with an accuracy greater than 85%.",2469-7281,,10.1109/JRFID.2022.3174272,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9772686,Automatic monitoring;RFID sensor;Industry 4.0;fruit ripening,Monitoring;Radiofrequency identification;Antennas;Antenna measurements;Sensors;Humidity;Visualization,agricultural products;condition monitoring;food processing industry;food products;food technology;learning (artificial intelligence);product quality;production engineering computing;radiofrequency identification;support vector machines,fine granularity control;nondestructive RFID-based system;support vector machines;automatic monitoring;fruit ripening rooms;UHF RFID sensor network;machine learning;controlled environmental conditions;food technologies;climacteric products;trained automatic classification algorithm;goods quality;Industry 4.0;live avocado ripening,,1,,32,IEEE,11-May-22,,,IEEE,IEEE Journals
